Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
NWS,"News Cp Cl B",24.89,-0.2,-0.80%,25.22,24.89,261500,04/23/21
NWSA,"News Cp Cl A",26.73,-0.16,-0.60%,27.23,26.68,3194600,04/23/21
NXPI,"Nxp Semiconductors",201.56,5.31,+2.71%,202.77,197.94,3211200,04/23/21
O,"Realty Income Corp",69.4,0.32000000000001,+0.46%,69.63,68.92,2020300,04/23/21
ODFL,"Old Dominion Freight Line Inc",257.76,7.01,+2.80%,259.26,252.71,787700,04/23/21
OKE,"Oneok Inc",50.6,-0.44,-0.86%,50.67,49.67,4133200,04/23/21
OMC,"Omnicom Group Inc",81.23,0.59,+0.73%,81.54,80.47,2215100,04/23/21
ORCL,"Oracle Corp",74.97,0.099999999999994,+0.13%,75,73.85,10665700,04/23/21
ORLY,"O'Reilly Automotive",532.61,3.03,+0.57%,536.72,525.9,323900,04/23/21
OTIS,"Otis Worldwide Corp",71.28,0.33,+0.47%,71.98,70.74,2574800,04/23/21
OXY,"Occidental Petroleum Corp",24.65,0.55,+2.28%,24.81,23.77,10830200,04/23/21
PAYC,"Paycom Software Inc",399.59,9.57,+2.45%,400.39,392.37,291200,04/23/21
PAYX,"Paychex Inc",99.23,0.95,+0.97%,99.65,97.98,1277100,04/23/21
PBCT,"People's United Finl",17.9,0.56,+3.20%,17.91,17.26,6707900,04/23/21
PCAR,"Paccar Inc",93.35,1.14,+1.24%,93.85,92.36,1722900,04/23/21
PEAK,"Healthpeak Properties Inc",33.99,-0.049999999999997,-0.15%,34.19,33.85,1573900,04/23/21
PEG,"Public Service Enterprise Group Inc",62.94,0.019999999999996,+0.03%,63.24,62.53,1514300,04/23/21
PENN,"Penn Natl Gaming Inc",89.74,0.07,+0.08%,90.94,88.76,3236300,04/23/21
PEP,"Pepsico Inc",145.83,-0.24,-0.16%,146.34,145.06,4354800,04/23/21
PFE,"Pfizer Inc",38.66,0.019999999999996,+0.05%,38.83,38.43,24389800,04/23/21
PFG,"Principal Financial Group Inc",62.71,1.07,+1.74%,63.05,61.81,1868200,04/23/21
PG,"Procter & Gamble Company",133.94,-0.69,-0.51%,135.08,133.25,6708700,04/23/21
PGR,"Progressive Corp",100.76,0.61,+0.61%,101,99.94,1788500,04/23/21
PH,"Parker-Hannifin Corp",318.12,4.35,+1.39%,320,315.08,759400,04/23/21
PHM,Pultegroup,53.91,0.73,+1.37%,54.16,53.05,1973900,04/23/21
PKG,"Packaging Corp of America",142.33,1.64,+1.17%,142.69,140.69,281500,04/23/21
PKI,Perkinelmer,134.97,1.58,+1.18%,135.1,132.79,607200,04/23/21
PLD,"Prologis Inc",114.87,0.19,+0.17%,115.39,114.14,1749800,04/23/21
PM,"Philip Morris International Inc",94.61,0.59999999999999,+0.64%,94.71,93.38,3747100,04/23/21
PNC,"PNC Bank",178.04,4.2,+2.42%,179.14,173.53,2031200,04/23/21
PNR,"Pentair Ltd",64.31,0.11,+0.17%,64.83,63.62,1402800,04/23/21
PNW,"Pinnacle West Capital Corp",83.81,-0.64999999999999,-0.77%,84.97,83.7,505500,04/23/21
POOL,"Pool Corp",419.53,9.07,+2.21%,424.56,411.28,348400,04/23/21
PPG,"PPG Industries",174.65,3.09,+1.80%,175.07,171.22,1143200,04/23/21
PPL,"PPL Corp",29.16,0.21,+0.73%,29.19,28.86,5070700,04/23/21
PRGO,"Perrigo Company",41.83,-0.8,-1.88%,42.45,41.74,1081800,04/23/21
PRU,"Prudential Financial Inc",98.5,1.76,+1.82%,98.86,96.53,1699000,04/23/21
PSA,"Public Storage",276.77,0.24000000000001,+0.09%,277.74,275.11,489900,04/23/21
PSX,"Phillips 66",76.49,1.54,+2.05%,76.8,74.98,1993100,04/23/21
PVH,"Phillips-Van Heusen Corp",109.44,2.43,+2.27%,109.9,106.26,722100,04/23/21
PWR,"Quanta Services",97.64,1.72,+1.79%,97.95,95.53,847200,04/23/21
PXD,"Pioneer Natural Resources Company",146.45,0.16999999999999,+0.12%,147.61,144.37,1337400,04/23/21
PYPL,"Paypal Holdings",266.03,3.76,+1.43%,267.79,260.97,6299000,04/23/21
QCOM,"Qualcomm Inc",135.43,2.46,+1.85%,136.11,133.54,7669000,04/23/21
QRVO,"Qorvo Inc",193.92,6.87,+3.67%,195.2,189.06,872800,04/23/21
RCL,"Royal Caribbean Cruises Ltd",85.81,1.63,+1.94%,85.96,83.28,2513400,04/23/21
RE,"Everest Re Group",266.82,2.31,+0.87%,268.71,264.89,169200,04/23/21
REG,"Regency Centers Corp",62.12,0.4,+0.65%,62.28,61.26,812300,04/23/21
REGN,"Regeneron Pharmaceuticals",488.64,-1.79,-0.36%,491.49,484.03,820000,04/23/21
RF,"Regions Financial Corp",20.63,0.34,+1.68%,20.75,19.09,11971800,04/23/21
RHI,"Robert Half International Inc",87,1.8,+2.11%,87.32,84.31,1324900,04/23/21
RJF,"Raymond James Financial",129.55,3.09,+2.44%,130.06,126.17,388700,04/23/21
RL,"Ralph Lauren Corp",125.48,2.05,+1.66%,125.72,123.53,731300,04/23/21
RMD,"Resmed Inc",209.3,1.08,+0.52%,209.57,207.23,280400,04/23/21
ROK,"Rockwell Automation Inc",269.06,4.01,+1.51%,269.42,265.19,682600,04/23/21
ROL,"Rollins Inc",35.8,0.51,+1.45%,35.99,35.3,1321400,04/23/21
ROP,"Roper Industries",434.22,3.09,+0.72%,435.9,429.97,346600,04/23/21
ROST,"Ross Stores Inc",128.82,0.98,+0.77%,129.45,127.13,966700,04/23/21
RSG,"Republic Services",106.39,0.78,+0.74%,106.65,105.05,947800,04/23/21
RTX,"Raytheon Technologies Corp",80.54,1.8,+2.29%,80.76,78.81,7142200,04/23/21
SBAC,"SBA Communications",296.49,1.92,+0.65%,301.55,294.46,667300,04/23/21
SBUX,"Starbucks Corp",117.56,1.64,+1.41%,117.98,115.84,4559200,04/23/21
SCHW,"The Charles Schwab Corp",67.14,2.34,+3.61%,67.18,64.88,7270500,04/23/21
SEE,"Sealed Air Corp",48.39,0.18,+0.37%,48.45,47.87,634600,04/23/21
SHW,"Sherwin-Williams Company",273.92,4.19,+1.55%,274.44,269.12,1108900,04/23/21
SIVB,"Svb Financial Group",564.22,45.23,+8.72%,585.25,529.37,996600,04/23/21
SJM,"J.M. Smucker Company",129.77,-2.34,-1.77%,132.11,129.2,778500,04/23/21
SLB,"Schlumberger N.V.",25.71,0.46,+1.82%,25.98,24.57,12876600,04/23/21
SNA,"Snap-On Inc",238.69,-1.54,-0.64%,242.18,238.48,477200,04/23/21
SNPS,"Synopsys Inc",251.45,3.24,+1.31%,252.31,248.51,658800,04/23/21
SO,"Southern Company",65.33,0.23,+0.35%,65.64,65.05,3885700,04/23/21
